CID100000085	C[N+](C)(C)C[C@H](O)CC([O-])=O		
CID100000206	[H]C(=O)[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
CID100000444	CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1
CID100000853	N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O
CID100000937	OC(=O)C1=CN=CC=C1
CID100000942	CN1CCC[C@H]1C1=CN=CC=C1
CID100001983	CC(=O)NC1=CC=C(O)C=C1
CID100002162	CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC
CID100002244	CC(=O)OC1=CC=CC=C1C(O)=O
CID100002250	CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1
CID100002462	[H][C@@]12C[C@H]3OC(CCC)O[C@@]3(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
CID100002524	C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
CID100002585	COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2
CID100002771	CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
CID100002803	ClC1=CC=CC(Cl)=C1NC1=NCCN1
CID100002806	[H][C@@](N1CCC2=C(C1)C=CS2)(C(=O)OC)C1=CC=CC=C1Cl
CID100003016	CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1
CID100003043	OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1NC=NC2=O
CID100003062	[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1
CID100003075	COC1=CC=C(C=C1)[C@@H]1SC2=C(C=CC=C2)N(CCN(C)C)C(=O)[C@@H]1OC(C)=O
CID100003121	CCCC(CCC)C(O)=O
CID100003348	CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
